     time       11        10        00        01
   9.6096 295.4353  995.6400 1004.1300  995.6400
   9.6697 295.8968 1004.6761 1013.1575 1004.6761
   9.7297 296.3425 1013.7145 1022.1871 1013.7145
   9.7898 296.7724 1022.7548 1031.2185 1022.7548
   9.8498 297.1869 1031.7968 1040.2514 1031.7968
   9.9099 297.5859 1040.8401 1049.2854 1040.8401
   9.9700 297.9699 1049.8844 1058.3202 1049.8844
  10.0300 298.3388 1058.9293 1067.3555 1058.9293
  10.0901 298.6928 1067.9746 1076.3910 1067.9746
  10.1502 299.0323 1077.0199 1085.4263 1077.0199
  10.2102 299.3572 1086.0649 1094.4612 1086.0649
  10.2703 299.6679 1095.1093 1103.4953 1095.1093
  10.3303 299.9643 1104.1528 1112.5284 1104.1528
  10.3904 300.2468 1113.1951 1121.5601 1113.1951
  10.4505 300.5155 1122.2359 1130.5901 1122.2359
  10.5105 300.7706 1131.2749 1139.6182 1131.2749
  10.5706 301.0121 1140.3118 1148.6441 1140.3118
  10.6306 301.2403 1149.3464 1157.6674 1149.3464
  10.6907 301.4553 1158.3783 1166.6880 1158.3783
  10.7508 301.6573 1167.4073 1175.7055 1167.4073
  10.8108 301.8464 1176.4331 1184.7197 1176.4331
  10.8709 302.0228 1185.4554 1193.7302 1185.4554
  10.9309 302.1866 1194.4740 1202.7369 1194.4740
  10.9910 302.3380 1203.4885 1211.7394 1203.4885
  11.0511 302.4772 1212.4989 1220.7376 1212.4988
  11.1111 302.6042 1221.5046 1229.7311 1221.5046
  11.1712 302.7193 1230.5057 1238.7196 1230.5056
  11.2312 302.8225 1239.5016 1247.7031 1239.5016
  11.2913 302.9140 1248.4924 1256.6811 1248.4923
  11.3514 302.9940 1257.4775 1265.6535 1257.4775
  11.4114 303.0626 1266.4570 1274.6200 1266.4570
  11.4715 303.1200 1275.4304 1283.5804 1275.4304
  11.5315 303.1662 1284.3976 1292.5344 1284.3976
  11.5916 303.2014 1293.3584 1301.4819 1293.3584
  11.6517 303.2257 1302.3124 1310.4226 1302.3124
  11.7117 303.2394 1311.2596 1319.3562 1311.2596
