     time         11         10      00         01
   9.5495  1146.3217  1052.3896  2.9252  1052.3896
   9.6096  1158.2232  1064.0897  2.9640  1064.0897
   9.6697  1170.1530  1075.8205  3.0030  1075.8205
   9.7297  1182.1106  1087.5816  3.0422  1087.5816
   9.7898  1194.0958  1099.3727  3.0815  1099.3727
   9.8498  1206.1081  1111.1933  3.1211  1111.1933
   9.9099  1218.1472  1123.0430  3.1608  1123.0430
   9.9700  1230.2128  1134.9216  3.2008  1134.9216
  10.0300  1242.3045  1146.8286  3.2408  1146.8286
  10.0901  1254.4219  1158.7637  3.2811  1158.7637
  10.1502  1266.5648  1170.7264  3.3216  1170.7264
  10.2102  1278.7327  1182.7165  3.3622  1182.7165
  10.2703  1290.9253  1194.7336  3.4030  1194.7336
  10.3303  1303.1423  1206.7773  3.4439  1206.7773
  10.3904  1315.3834  1218.8473  3.4851  1218.8473
  10.4505  1327.6482  1230.9431  3.5264  1230.9431
  10.5105  1339.9364  1243.0646  3.5678  1243.0646
  10.5706  1352.2477  1255.2113  3.6095  1255.2113
  10.6306  1364.5818  1267.3829  3.6512  1267.3829
  10.6907  1376.9383  1279.5790  3.6932  1279.5790
  10.7508  1389.3169  1291.7994  3.7353  1291.7994
  10.8108  1401.7173  1304.0437  3.7776  1304.0437
  10.8709  1414.1393  1316.3115  3.8200  1316.3115
  10.9309  1426.5824  1328.6026  3.8626  1328.6026
  10.9910  1439.0464  1340.9166  3.9053  1340.9166
  11.0511  1451.5310  1353.2532  3.9482  1353.2532
  11.1111  1464.0359  1365.6121  3.9912  1365.6121
  11.1712  1476.5608  1377.9929  4.0344  1377.9929
  11.2312  1489.1054  1390.3955  4.0777  1390.3955
  11.2913  1501.6694  1402.8193  4.1212  1402.8193
  11.3514  1514.2526  1415.2642  4.1648  1415.2642
  11.4114  1526.8545  1427.7299  4.2086  1427.7299
  11.4715  1539.4750  1440.2160  4.2525  1440.2160
  11.5315  1552.1138  1452.7222  4.2965  1452.7222
  11.5916  1564.7705  1465.2483  4.3407  1465.2483
  11.6517  1577.4450  1477.7940  4.3850  1477.7940
  11.7117  1590.1369  1490.3589  4.4295  1490.3589
  11.7718  1602.8460  1502.9428  4.4741  1502.9428
  11.8318  1615.5719  1515.5455  4.5188  1515.5455
  11.8919  1628.3145  1528.1665  4.5636  1528.1665
  11.9520  1641.0735  1540.8057  4.6086  1540.8057
  12.0120  1653.8485  1553.4627  4.6537  1553.4627
  12.0721  1666.6395  1566.1373  4.6989  1566.1373
  12.1321  1679.4459  1578.8292  4.7443  1578.8292
  12.1922  1692.2678  1591.5382  4.7898  1591.5382
  12.2523  1705.1047  1604.2639  4.8354  1604.2639
  12.3123  1717.9564  1617.0062  4.8811  1617.0062
  12.3724  1730.8227  1629.7647  4.9270  1629.7647
  12.4324  1743.7033  1642.5392  4.9729  1642.5392
  12.4925  1756.5980  1655.3294  5.0190  1655.3294
  12.5526  1769.5066  1668.1351  5.0652  1668.1351
  12.6126  1782.4288  1680.9560  5.1115  1680.9560
  12.6727  1795.3643  1693.7919  5.1580  1693.7919
  12.7327  1808.3130  1706.6424  5.2045  1706.6424
  12.7928  1821.2745  1719.5075  5.2512  1719.5075
  12.8529  1834.2488  1732.3868  5.2979  1732.3868
  12.9129  1847.2354  1745.2801  5.3448  1745.2801
  12.9730  1860.2343  1758.1871  5.3918  1758.1871
  13.0330  1873.2451  1771.1076  5.4388  1771.1076
  13.0931  1886.2678  1784.0414  5.4860  1784.0414
  13.1532  1899.3019  1796.9883  5.5333  1796.9883
  13.2132  1912.3474  1809.9479  5.5807  1809.9479
  13.2733  1925.4039  1822.9201  5.6282  1822.9201
  13.3333  1938.4714  1835.9046  5.6758  1835.9046
  13.3934  1951.5495  1848.9013  5.7235  1848.9013
  13.4535  1964.6381  1861.9099  5.7713  1861.9099
  13.5135  1977.7369  1874.9301  5.8192  1874.9301
  13.5736  1990.8458  1887.9618  5.8671  1887.9618
  13.6336  2003.9645  1901.0047  5.9152  1901.0047
  13.6937  2017.0928  1914.0587  5.9634  1914.0587
  13.7538  2030.2306  1927.1234  6.0116  1927.1234
  13.8138  2043.3776  1940.1988  6.0600  1940.1988
  13.8739  2056.5336  1953.2845  6.1084  1953.2845
  13.9339  2069.6984  1966.3804  6.1569  1966.3804
  13.9940  2082.8719  1979.4862  6.2055  1979.4862
  14.0541  2096.0538  1992.6018  6.2542  1992.6018
  14.1141  2109.2440  2005.7270  6.3030  2005.7270
  14.1742  2122.4422  2018.8615  6.3519  2018.8615
  14.2342  2135.6483  2032.0052  6.4008  2032.0052
  14.2943  2148.8620  2045.1579  6.4498  2045.1579
  14.3544  2162.0833  2058.3193  6.4989  2058.3193
  14.4144  2175.3119  2071.4892  6.5481  2071.4892
  14.4745  2188.5476  2084.6676  6.5974  2084.6676
  14.5345  2201.7903  2097.8541  6.6467  2097.8541
  14.5946  2215.0397  2111.0487  6.6961  2111.0487
  14.6547  2228.2957  2124.2510  6.7456  2124.2510
  14.7147  2241.5582  2137.4610  6.7952  2137.4610
  14.7748  2254.8269  2150.6784  6.8448  2150.6784
  14.8348  2268.1017  2163.9030  6.8945  2163.9030
  14.8949  2281.3823  2177.1348  6.9443  2177.1348
  14.9550  2294.6687  2190.3734  6.9942  2190.3734
  15.0150  2307.9607  2203.6187  7.0441  2203.6187
  15.0751  2321.2581  2216.8706  7.0941  2216.8706
  15.1351  2334.5607  2230.1289  7.1441  2230.1289
  15.1952  2347.8684  2243.3934  7.1942  2243.3934
